feels_like,recommendation
274,"Hace mucho frío, abrígate bien."
278,"Temperatura fría, una chaqueta será necesaria."
283,"Fresco, una capa ligera debería ser suficiente."
288,"Temperatura templada, ideal para salir con ropa cómoda."
293,"Clima agradable, vístete de manera casual."
298,"Temperatura cálida, elige ropa ligera."
303,"Hace calor, mantente hidratado y usa ropa fresca."
308,"Calor intenso, busca sombra y mantente fresco."
313,"Muy caluroso, evita la exposición prolongada al sol."
318,"Extremadamente caluroso, considera quedarte en interiores."
323,"Calor extremo, toma precauciones adicionales contra el calor."
328,"Temperatura muy alta, es mejor evitar actividades al aire libre."
333,"Calor extremo, mantente en un lugar fresco y bebe mucha agua."